timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1540465779967,62,HTTP Request,200,,Spike Test 1-45,text,true,,3548,273,23,23,19,0,0
1540465779952,78,HTTP Request,200,,Spike Test 1-49,text,true,,3548,273,23,23,3,0,0
1540465779980,51,HTTP Request,200,,Spike Test 1-34,text,true,,3548,273,23,23,3,0,0
1540465779996,36,HTTP Request,200,,Spike Test 1-44,text,true,,3548,273,23,23,4,0,0
1540465779955,77,HTTP Request,200,,Spike Test 1-41,text,true,,3548,273,23,23,6,0,0
1540465779994,38,HTTP Request,200,,Spike Test 1-36,text,true,,3548,273,23,23,6,0,0
1540465779950,82,HTTP Request,200,,Spike Test 1-35,text,true,,3548,273,23,23,5,0,0
1540465779985,47,HTTP Request,200,,Spike Test 1-31,text,true,,3548,273,23,23,13,0,1
1540465779954,78,HTTP Request,200,,Spike Test 1-46,text,true,,3548,273,23,23,6,0,0
1540465779970,65,HTTP Request,200,,Spike Test 1-33,text,true,,3548,273,23,23,17,0,0
1540465780013,30,HTTP Request,200,,Spike Test 1-48,text,true,,3548,273,23,23,3,0,0
1540465780016,31,HTTP Request,200,,Spike Test 1-32,text,true,,3548,273,24,24,2,0,0
1540465780015,33,HTTP Request,200,,Spike Test 1-40,text,true,,3548,273,24,24,2,0,0
1540465780021,27,HTTP Request,200,,Spike Test 1-43,text,true,,3548,273,24,24,1,0,0
1540465780022,28,HTTP Request,200,,Spike Test 1-38,text,true,,3548,273,24,24,5,0,0
1540465780011,44,HTTP Request,200,,Spike Test 1-42,text,true,,3548,273,24,24,1,0,0
1540465780015,43,HTTP Request,200,,Spike Test 1-51,text,true,,3548,273,24,24,1,0,0
1540465780021,38,HTTP Request,200,,Spike Test 1-37,text,true,,3548,273,24,24,1,0,0
1540465780032,30,HTTP Request,200,,Spike Test 1-44,text,true,,3548,273,24,24,6,0,0
1540465780032,31,HTTP Request,200,,Spike Test 1-46,text,true,,3548,273,24,24,6,0,0
1540465780032,32,HTTP Request,200,,Spike Test 1-41,text,true,,3548,273,24,24,2,0,0
1540465780032,34,HTTP Request,200,,Spike Test 1-31,text,true,,3548,273,25,25,2,0,0
1540465780031,36,HTTP Request,200,,Spike Test 1-34,text,true,,3548,273,25,25,1,0,0
1540465780030,38,HTTP Request,200,,Spike Test 1-49,text,true,,3548,273,25,25,3,0,0
1540465780029,41,HTTP Request,200,,Spike Test 1-45,text,true,,3548,273,25,25,1,0,0
1540465780035,36,HTTP Request,200,,Spike Test 1-33,text,true,,3548,273,25,25,3,0,0
1540465780025,47,HTTP Request,200,,Spike Test 1-29,text,true,,3548,273,25,25,2,0,1
1540465780032,40,HTTP Request,200,,Spike Test 1-36,text,true,,3548,273,25,25,6,0,0
1540465780032,40,HTTP Request,200,,Spike Test 1-35,text,true,,3548,273,25,25,2,0,0
1540465780055,23,HTTP Request,200,,Spike Test 1-42,text,true,,3548,273,25,25,1,0,0
1540465780048,31,HTTP Request,200,,Spike Test 1-40,text,true,,3548,273,25,25,4,0,0
1540465780043,39,HTTP Request,200,,Spike Test 1-48,text,true,,3548,273,25,25,2,0,0
1540465780050,34,HTTP Request,200,,Spike Test 1-38,text,true,,3548,273,25,25,2,0,0
